Date,diff,height,value,Close
2018-11-27,12153054733.7912,295696,4149818.23758617,19.79
2018-11-27,12153054733.7912,295697,4149520.8368415,19.79
2018-11-27,12153054733.7912,295698,4149534.17880762,19.79
2018-11-27,12153054733.7912,295699,4149240.73307499,19.79
2018-11-27,12153054733.7912,295700,4148935.12625335,19.79
2018-11-27,12153054733.7912,295701,4149885.09222315,19.79
2018-11-27,12153054733.7912,295702,4150019.00768985,19.79
2018-11-27,12153054733.7912,295703,4149824.56814411,19.79
2018-11-27,12153054733.7912,295704,4149724.21451029,19.79
2018-11-27,12153054733.7912,295705,4149331.54375703,19.79
2018-11-27,12153054733.7912,295706,4149046.67586817,19.79
2018-11-27,12153054733.7912,295707,4149280.67937458,19.79
2018-11-27,12153054733.7912,295708,4148984.87521895,19.79
2018-11-27,12153054733.7912,295709,4148987.80595629,19.79
2018-11-27,12153054733.7912,295710,4148994.09682295,19.79
2018-11-27,12153054733.7912,295711,4148804.67202303,19.79
2018-11-27,12153054733.7912,295712,4148498.43824868,19.79
2018-11-27,12153054733.7912,295713,4148612.3707515,19.79
2018-11-27,12153054733.7912,295714,4149263.45908074,19.79
2018-11-27,12153054733.7912,295715,4149067.79827153,19.79
2018-11-27,12153054733.7912,295716,4149083.39020612,19.79
2018-11-27,12153054733.7912,295717,4149311.97345557,19.79
2018-11-27,12153054733.7912,295718,4149109.34052405,19.79
2018-11-27,12153054733.7912,295719,4148816.80028257,19.79
2018-11-27,12153054733.7912,295720,4148823.60656936,19.79
2018-11-27,12153054733.7912,295721,4148928.26051463,19.79
2018-11-27,12153054733.7912,295722,4148942.9338096,19.79
2018-11-27,12153054733.7912,295723,4148650.79512171,19.79
2018-11-27,12153054733.7912,295724,4148641.8663956,19.79
2018-11-27,12153054733.7912,295725,4148855.31847321,19.79
2018-11-27,12153054733.7912,295726,4148880.43285683,19.79
2018-11-27,12153054733.7912,295727,4149415.49363356,19.79
2018-11-27,12153054733.7912,295728,4149332.10691373,19.79
2018-11-27,12153054733.7912,295729,4149236.11770291,19.79
2018-11-27,12153054733.7912,295730,4149140.46264997,19.79
2018-11-27,12153054733.7912,295731,4149037.44835433,19.79
2018-11-27,12153054733.7912,295732,4148737.82047447,19.79
2018-11-27,12153054733.7912,295733,4148853.0135632,19.79
2018-11-27,12153054733.7912,295734,4148340.96640615,19.79
2018-11-27,12153054733.7912,295735,4148551.24011269,19.79
2018-11-27,12153054733.7912,295736,4148461.23838333,19.79
2018-11-27,12153054733.7912,295737,4149625.09023694,19.79
2018-11-27,12153054733.7912,295738,4149327.96769742,19.79
2018-11-27,12153054733.7912,295739,4149634.41857244,19.79
2018-11-27,12153054733.7912,295740,4149959.79745232,19.79
2018-11-27,12153054733.7912,295741,4149855.13368351,19.79
2018-11-27,12153054733.7912,295742,4149768.92607612,19.79
2018-11-27,12153054733.7912,295743,4149783.77112742,19.79
2018-11-27,12153054733.7912,295744,4149592.51397056,19.79
2018-11-27,12153054733.7912,295745,4149180.30292803,19.79
2018-11-27,12153054733.7912,295746,4149186.62316259,19.79
2018-11-27,12153054733.7912,295747,4148980.96027669,19.79
2018-11-27,12153054733.7912,295748,4148799.3629198,19.79
2018-11-27,12153054733.7912,295749,4148593.62523726,19.79
2018-11-27,12153054733.7912,295750,4148198.06982014,19.79
2018-11-27,12153054733.7912,295751,4148215.71220526,19.79
2018-11-27,12153054733.7912,295752,4148854.42281463,19.79
2018-11-27,12153054733.7912,295753,4148536.11800871,19.79
2018-11-27,12153054733.7912,295754,4150097.20462193,19.79
2018-11-27,12153054733.7912,295755,4151649.47474295,19.79
2018-11-27,12153054733.7912,295756,4151976.20879423,19.79
2018-11-27,12153054733.7912,295757,4152186.34293902,19.79
2018-11-27,12153054733.7912,295758,4151890.4193453,19.79
2018-11-27,12153054733.7912,295759,4151494.32727642,19.79
2018-11-27,12153054733.7912,295760,4151491.38514509,19.79
2018-11-27,12153054733.7912,295761,4151397.31726878,19.79
2018-11-27,12153054733.7912,295762,4151204.42116334,19.79
2018-11-27,12153054733.7912,295763,4150898.89193212,19.79
2018-11-27,12153054733.7912,295764,4151025.0614492,19.79
2018-11-27,12153054733.7912,295765,4150831.54308389,19.79
2018-11-27,12153054733.7912,295766,4150825.90794626,19.79
2018-11-27,12153054733.7912,295767,4150833.60519803,19.79
2018-11-27,12153054733.7912,295768,4150744.51607267,19.79
2018-11-27,12153054733.7912,295769,4151065.93702624,19.79
2018-11-27,12153054733.7912,295770,4150983.57349902,19.79
2018-11-27,12153054733.7912,295771,4152544.26044597,19.79
2018-11-27,12153054733.7912,295772,4153287.19642139,19.79
2018-11-27,12153054733.7912,295773,4153186.11107072,19.79
2018-11-27,12153054733.7912,295774,4153191.15060098,19.79
2018-11-27,12153054733.7912,295775,4152977.3736293,19.79
2018-11-27,10819962815.4625,295776,4153386.95118152,19.79
2018-11-27,10819962815.4625,295777,4153193.04504394,19.79
2018-11-27,10819962815.4625,295778,4153410.15529919,19.79
2018-11-27,10819962815.4625,295779,4154987.2090918,19.79
2018-11-27,10819962815.4625,295780,4156549.50148367,19.79
2018-11-27,10819962815.4625,295781,4156460.40120095,19.79
2018-11-27,10819962815.4625,295782,4157086.09079514,19.79
2018-11-27,10819962815.4625,295783,4157316.15994252,19.79
2018-11-27,10819962815.4625,295784,4157211.08443488,19.79
2018-11-27,10819962815.4625,295785,4157439.25361919,19.79
2018-11-27,10819962815.4625,295786,4157144.67170091,19.79
2018-11-27,10819962815.4625,295787,4156847.15690257,19.79
2018-11-27,10819962815.4625,295788,4156744.69398466,19.79
2018-11-27,10819962815.4625,295789,4156467.21733451,19.79
2018-11-27,10819962815.4625,295790,4156487.33774618,19.79
2018-11-27,10819962815.4625,295791,4156402.88631238,19.79
2018-11-27,10819962815.4625,295792,4156197.50361538,19.79
2018-11-27,10819962815.4625,295793,4155982.85506849,19.79
2018-11-27,10819962815.4625,295794,4155776.90766555,19.79
2018-11-27,10819962815.4625,295795,4155886.50600905,19.79
2018-11-27,10819962815.4625,295796,4155605.39395572,19.79
2018-11-27,10819962815.4625,295797,4155300.69688793,19.79
2018-11-27,10819962815.4625,295798,4155015.75161474,19.79
2018-11-27,10819962815.4625,295799,4154918.99889524,19.79
2018-11-27,10819962815.4625,295800,4154930.66989054,19.79
2018-11-27,10819962815.4625,295801,4154628.83707297,19.79
2018-11-27,10819962815.4625,295802,4154639.9065723,19.79
2018-11-27,10819962815.4625,295803,4154443.96162967,19.79
2018-11-27,10819962815.4625,295804,4154457.04469337,19.79
2018-11-27,10819962815.4625,295805,4154255.0255644,19.79
2018-11-27,10819962815.4625,295806,4153965.96712798,19.79
2018-11-27,10819962815.4625,295807,4153984.35227082,19.79
2018-11-27,10819962815.4625,295808,4153791.0772523,19.79
2018-11-27,10819962815.4625,295809,4153789.97759,19.79
2018-11-27,10819962815.4625,295810,4153907.85838693,19.79
2018-11-27,10819962815.4625,295811,4153815.42602092,19.79
2018-11-27,10819962815.4625,295812,4153418.01225894,19.79
2018-11-27,10819962815.4625,295813,4153432.15970846,19.79
2018-11-27,10819962815.4625,295814,4153131.08039686,19.79
2018-11-27,10819962815.4625,295815,4153036.90750584,19.79
2018-11-27,10819962815.4625,295816,4153040.43162558,19.79
2018-11-27,10819962815.4625,295817,4152723.27856546,19.79
2018-11-27,10819962815.4625,295818,4152439.58831573,19.79
2018-11-27,10819962815.4625,295819,4152454.01342522,19.79
2018-11-27,10819962815.4625,295820,4152254.11080235,19.79
2018-11-27,10819962815.4625,295821,4151847.98851318,19.79
2018-11-27,10819962815.4625,295822,4152372.26770045,19.79
2018-11-27,10819962815.4625,295823,4152067.74090608,19.79
2018-11-27,10819962815.4625,295824,4152193.74529884,19.79
2018-11-27,10819962815.4625,295825,4152208.57156902,19.79
2018-11-27,10819962815.4625,295826,4151916.93765507,19.79
2018-11-27,10819962815.4625,295827,4151728.27276539,19.79
2018-11-27,10819962815.4625,295828,4152170.19537237,19.79
2018-11-27,10819962815.4625,295829,4151767.27022583,19.79
2018-11-27,10819962815.4625,295830,4151461.45708259,19.79
2018-11-27,10819962815.4625,295831,4152301.78738129,19.79
2018-11-27,10819962815.4625,295832,4152309.72946854,19.79
2018-11-27,10819962815.4625,295833,4152758.49969596,19.79
2018-11-27,10819962815.4625,295834,4152272.80093901,19.79
2018-11-27,10819962815.4625,295835,4152185.73333657,19.79
2018-11-27,10819962815.4625,295836,4152074.01528269,19.79
2018-11-27,10819962815.4625,295837,4152618.34389636,19.79
2018-11-27,10819962815.4625,295838,4152844.65667943,19.79
2018-11-27,10819962815.4625,295839,4152747.40461567,19.79
2018-11-27,10819962815.4625,295840,4152553.36508185,19.79
2018-11-27,10819962815.4625,295841,4152359.59246601,19.79
2018-11-27,10819962815.4625,295842,4153928.76586701,19.79
2018-11-27,10819962815.4625,295843,4154977.3533746,19.79
2018-11-27,10819962815.4625,295844,4154684.37443376,19.79
2018-11-27,10819962815.4625,295845,4154585.7752917,19.79
2018-11-27,10819962815.4625,295846,4154289.43067332,19.79
2018-11-27,10819962815.4625,295847,4154095.69042471,19.79
2018-11-27,10819962815.4625,295848,4153889.76237429,19.79
2018-11-27,10819962815.4625,295849,4153692.46769182,19.79
2018-11-27,10819962815.4625,295850,4154019.40637767,19.79
2018-11-27,10819962815.4625,295851,4153505.18429562,19.79
2018-11-27,10819962815.4625,295852,4153617.0947396,19.79
2018-11-27,10819962815.4625,295853,4153523.61428391,19.79
2018-11-27,10819962815.4625,295854,4153233.25573348,19.79
2018-11-27,10819962815.4625,295855,4154796.02170645,19.79
2018-11-27,10819962815.4625,295856,4156268.31663654,19.79
2018-11-27,10819962815.4625,295857,4157001.91655032,19.79
2018-11-27,10819962815.4625,295858,4156710.04538122,19.79
2018-11-27,10819962815.4625,295859,4156196.77501131,19.79
2018-11-27,10819962815.4625,295860,4156417.3328548,19.79
2018-11-27,10819962815.4625,295861,4156221.41528231,19.79
2018-11-27,10819962815.4625,295862,4156015.44582227,19.79
2018-11-27,10819962815.4625,295863,4156435.45598913,19.79
2018-11-27,10819962815.4625,295864,4156554.44989545,19.79
2018-11-28,10819962815.4625,295865,4156679.92642134,21.73
2018-11-28,10819962815.4625,295866,4156471.43957782,21.73
2018-11-28,10819962815.4625,295867,4156404.02946157,21.73
2018-11-28,10819962815.4625,295868,4156095.66525795,21.73
2018-11-28,10819962815.4625,295869,4155989.99877304,21.73
2018-11-28,10819962815.4625,295870,4155577.29150752,21.73
2018-11-28,10819962815.4625,295871,4155184.51728662,21.73
2018-11-28,10819962815.4625,295872,4155512.21984969,21.73
2018-11-28,10819962815.4625,295873,4155831.69762691,21.73
2018-11-28,10819962815.4625,295874,4156671.21545643,21.73
2018-11-28,10819962815.4625,295875,4157015.16637696,21.73
2018-11-28,10819962815.4625,295876,4156719.41910164,21.73
2018-11-28,10819962815.4625,295877,4156526.13763472,21.73
2018-11-28,10819962815.4625,295878,4156115.94780095,21.73
2018-11-28,10819962815.4625,295879,4156345.16752198,21.73
2018-11-28,10819962815.4625,295880,4156460.68917454,21.73
2018-11-28,10819962815.4625,295881,4157090.9282122,21.73
2018-11-28,10819962815.4625,295882,4156688.63215617,21.73
2018-11-28,10819962815.4625,295883,4157309.8959371,21.73
2018-11-28,10819962815.4625,295884,4157222.69236827,21.73
2018-11-28,10819962815.4625,295885,4157431.50739285,21.73
2018-11-28,10819962815.4625,295886,4157019.86685879,21.73
2018-11-28,10819962815.4625,295887,4158072.23238113,21.73
2018-11-28,10819962815.4625,295888,4158075.77658595,21.73
2018-11-28,10819962815.4625,295889,4157665.92617848,21.73
