Date,diff,height,value,Close
2018-10-04,6976766848.68531,280052,3951167.09594298,41.18
2018-10-04,6976766848.68531,280053,3950780.7933471,41.18
2018-10-04,6976766848.68531,280054,3950672.54188135,41.18
2018-10-04,6976766848.68531,280055,3952123.35386273,41.18
2018-10-04,6976766848.68531,280056,3951924.55635363,41.18
2018-10-04,6976766848.68531,280057,3951922.77169283,41.18
2018-10-04,6976766848.68531,280058,3952413.26017244,41.18
2018-10-04,6976766848.68531,280059,3952411.7876443,41.18
2018-10-04,6976766848.68531,280060,3952023.68467147,41.18
2018-10-04,6976766848.68531,280061,3951741.37592813,41.18
2018-10-04,6976766848.68531,280062,3951362.7419173,41.18
2018-10-04,6976766848.68531,280063,3951272.62019716,41.18
2018-10-04,6976766848.68531,280064,3951373.14273395,41.18
2018-10-04,6976766848.68531,280065,3951273.51731475,41.18
2018-10-04,6976766848.68531,280066,3951564.52137444,41.18
2018-10-04,6976766848.68531,280067,3952621.56996837,41.18
2018-10-04,6976766848.68531,280068,3952719.1529746,41.18
2018-10-04,6976766848.68531,280069,3952534.12761216,41.18
2018-10-04,6976766848.68531,280070,3952334.50906597,41.18
2018-10-04,6976766848.68531,280071,3952334.05003217,41.18
2018-10-04,6976766848.68531,280072,3952231.37961638,41.18
2018-10-04,6976766848.68531,280073,3951942.06118876,41.18
2018-10-04,6976766848.68531,280074,3951935.56247938,41.18
2018-10-04,6976766848.68531,280075,3951638.74379439,41.18
2018-10-04,6976766848.68531,280076,3951629.87522787,41.18
2018-10-04,6976766848.68531,280077,3951435.43398527,41.18
2018-10-04,6976766848.68531,280078,3951235.52131585,41.18
2018-10-04,6976766848.68531,280079,3951246.22962068,41.18
2018-10-04,6955732756.96535,280080,3950967.60160682,41.18
2018-10-04,6955732756.96535,280081,3951070.01569267,41.18
2018-10-04,6955732756.96535,280082,3950680.95646389,41.18
2018-10-04,6955732756.96535,280083,3950483.55048628,41.18
2018-10-04,6955732756.96535,280084,3950377.90291069,41.18
2018-10-04,6955732756.96535,280085,3950463.16352273,41.18
2018-10-04,6955732756.96535,280086,3950168.79469047,41.18
2018-10-04,6955732756.96535,280087,3950168.33721336,41.18
2018-10-04,6955732756.96535,280088,3949683.31759942,41.18
2018-10-04,6955732756.96535,280089,3950353.97494513,41.18
2018-10-04,6955732756.96535,280090,3951795.67229882,41.18
2018-10-04,6955732756.96535,280091,3953235.83747673,41.18
2018-10-04,6955732756.96535,280092,3954686.30393042,41.18
2018-10-04,6955732756.96535,280093,3956039.45766521,41.18
2018-10-04,6955732756.96535,280094,3957483.91423501,41.18
2018-10-04,6955732756.96535,280095,3958936.58890805,41.18
2018-10-04,6955732756.96535,280096,3960379.6155413,41.18
2018-10-04,6955732756.96535,280097,3961826.95771405,41.18
2018-10-04,6955732756.96535,280098,3963272.02882527,41.18
2018-10-04,6955732756.96535,280099,3964520.00241574,41.18
2018-10-04,6955732756.96535,280100,3964226.66580933,41.18
2018-10-04,6955732756.96535,280101,3964325.51472896,41.18
2018-10-04,6955732756.96535,280102,3964322.00630938,41.18
2018-10-04,6955732756.96535,280103,3964319.52200715,41.18
2018-10-04,6955732756.96535,280104,3964225.63962427,41.18
2018-10-04,6955732756.96535,280105,3964135.9950335,41.18
2018-10-04,6955732756.96535,280106,3964335.08281056,41.18
2018-10-04,6955732756.96535,280107,3964042.55523527,41.18
2018-10-04,6955732756.96535,280108,3963954.1092525,41.18
2018-10-04,6955732756.96535,280109,3963661.83454231,41.18
2018-10-04,6955732756.96535,280110,3963368.11063565,41.18
2018-10-04,6955732756.96535,280111,3963075.56285429,41.18
2018-10-04,6955732756.96535,280112,3962688.38941768,41.18
2018-10-04,6955732756.96535,280113,3962514.23858163,41.18
2018-10-04,6955732756.96535,280114,3962325.65841179,41.18
2018-10-04,6955732756.96535,280115,3962125.42072055,41.18
2018-10-04,6955732756.96535,280116,3962119.84421623,41.18
2018-10-04,6955732756.96535,280117,3962128.7020116,41.18
2018-10-04,6955732756.96535,280118,3961740.72186873,41.18
2018-10-04,6955732756.96535,280119,3961543.99115991,41.18
2018-10-04,6955732756.96535,280120,3962018.68541011,41.18
2018-10-04,6955732756.96535,280121,3961916.71580971,41.18
2018-10-04,6955732756.96535,280122,3961621.90666842,41.18
2018-10-04,6955732756.96535,280123,3961629.32963275,41.18
2018-10-04,6955732756.96535,280124,3961335.45527763,41.18
2018-10-04,6955732756.96535,280125,3961527.84208253,41.18
2018-10-04,6955732756.96535,280126,3961620.17590875,41.18
2018-10-04,6955732756.96535,280127,3961621.54298062,41.18
2018-10-04,6955732756.96535,280128,3961624.68220542,41.18
2018-10-04,6955732756.96535,280129,3961623.70570328,41.18
2018-10-04,6955732756.96535,280130,3961616.93438624,41.18
2018-10-04,6955732756.96535,280131,3961613.6701996,41.18
2018-10-04,6955732756.96535,280132,3961414.87383027,41.18
2018-10-04,6955732756.96535,280133,3961507.47165635,41.18
2018-10-04,6955732756.96535,280134,3961403.3749851,41.18
2018-10-04,6955732756.96535,280135,3961310.04703056,41.18
2018-10-04,6955732756.96535,280136,3961015.8688002,41.18
2018-10-04,6955732756.96535,280137,3960926.18380105,41.18
2018-10-04,6955732756.96535,280138,3961017.82578315,41.18
